ödätzvoceyirtvd: 167 ms, dist=9
ödätzvoceyirtvd (9)cokvösk: 29 ms, dist=1
cokvösk (1)skustom: 22 ms, dist=1
skustom (1)kvfätäsjotj: 23 ms, dist=1
kvfätäsjotj (1)lycåkvle: 26 ms, dist=2
lycåkvle (2)zklsygtrbazaärfktzsl: 147 ms, dist=13
zklsygtrbazaärfktzsl (13)oåuzeifösvbgunccfseåqg: 147 ms, dist=15
oåuzeifösvbgunccfseåqg (15)snlfygvredoscåkhq: 118 ms, dist=10
snlfygvredoscåkhq (10)öpeguovöqrääzgc: 120 ms, dist=9
öpeguovöqrääzgc (9)qvpoeinhoahxhåxfäzyä: 143 ms, dist=13
qvpoeinhoahxhåxfäzyä (13)clzpjköäatdrbmnpas: 149 ms, dist=12
clzpjköäatdrbmnpas (12)byxbhpqtååomneexn: 117 ms, dist=10
byxbhpqtååomneexn (10)hfoflmpnglzbzsiqguyrg: 145 ms, dist=14
hfoflmpnglzbzsiqguyrg (14)äuximgåzoimbfckcänäcqt: 154 ms, dist=15
äuximgåzoimbfckcänäcqt (15)hbtjgbhzbixlrvpqym: 141 ms, dist=11
hbtjgbhzbixlrvpqym (11)fävözoazu: 14 ms, dist=1
fävözoazu (1)effliöyödäihsööjtx: 121 ms, dist=11
effliöyödäihsööjtx (11)nng: 3 ms, dist=1
nng (1)jsungoly: 30 ms, dist=2
jsungoly (2)susjåhöfå: 22 ms, dist=1
susjåhöfå (1)kbfgaösljälzjl: 97 ms, dist=7
kbfgaösljälzjl (7)duamtjo: 19 ms, dist=2
duamtjo (2)ngärrårnro: 32 ms, dist=1
ngärrårnro (1)zynnoh: 16 ms, dist=1
zynnoh (1)zåtggäibetitrz: 123 ms, dist=7
zåtggäibetitrz (7)fsvibdjibtsffe: 111 ms, dist=8
fsvibdjibtsffe (8)rasjengubä: 35 ms, dist=1
rasjengubä (1)rcososkirr: 24 ms, dist=1
rcososkirr (1)råesjupälå: 35 ms, dist=1
råesjupälå (1)nyhsnavtglxxqd: 116 ms, dist=8
nyhsnavtglxxqd (8)åjsyvmömtxbmrnmz: 128 ms, dist=10
åjsyvmömtxbmrnmz (10)mårrekvdo: 24 ms, dist=2
mårrekvdo (2)lxiskövö: 35 ms, dist=1
lxiskövö (1)sixvhtkuifxczdmueöl: 142 ms, dist=12
sixvhtkuifxczdmueöl (12)jeöägxpbåxdlqäar: 119 ms, dist=9
jeöägxpbåxdlqäar (9)hoåghåvä: 24 ms, dist=2
hoåghåvä (2)hjqkdytäyynipgysbilalp: 121 ms, dist=14
hjqkdytäyynipgysbilalp (14)zillåhesäj: 51 ms, dist=2
zillåhesäj (2)xengäåtje: 35 ms, dist=1
xengäåtje (1)rröökåkvi: 38 ms, dist=1
rröökåkvi (1)jyyohapjabhödeasacjäb: 123 ms, dist=13
jyyohapjabhödeasacjäb (13)vbyoåärtuzåjexs: 114 ms, dist=8
vbyoåärtuzåjexs (8)lnzöhyytzizpexgkoöt: 138 ms, dist=12
lnzöhyytzizpexgkoöt (12)dmqlycnexäbygvpuaubvqå: 129 ms, dist=14
dmqlycnexäbygvpuaubvqå (14)aåbfcbnövtuoamp: 132 ms, dist=10
aåbfcbnövtuoamp (10)ilopdtyoxödsskprviy: 117 ms, dist=11
ilopdtyoxödsskprviy (11)axkisdläptjqbvuoö: 120 ms, dist=10
